mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	2.0	0	1/2	Chord	4/4	1	1	1/2	1/2	1	0				
1	1	0	0	2.0	0	1/2	Chord	4/4	1	2	1/2	1/2	1	1				
1	1	0	0	2.0	0	1/2	Chord	4/4	2	1	1/2	1/2	1	2				
1	1	0	0	2.0	0	1/2	Chord	4/4	2	2	1/2	1/2	1	3				
2	2	2	2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	4				
2	2	4	4	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	5				
2	2	2	2	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	6				
2	2	4	4	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	7				
2	2	2	2	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	5		
2	2	2	2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	8				
2	2	3	3	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6\		
2	2	3	3	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	9				
2	2	4	4	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	10				
2	2	2	2	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	11				
2	2	4	4	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	12				
3	3	6	6	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	13				0
3	3	7	7	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	14				
3	3	8	8	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	15				
3	3	6	6	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	16				
3	3	8	8	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	17				
3	3	6	6	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	3		
3	3	6	6	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	18				
3	3	7	7	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	2		
3	3	8	8	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	19				
3	3	6	6	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	20				
3	3	8	8	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	21				
4	4	10	10	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	22				
4	4	12	12	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	23				1
4	4	13	13	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	24				
4	4	10	10	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	25				
4	4	12	12	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	26				
4	4	10	10	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	6		
4	4	10	10	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	27				
4	4	12	12	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
4	4	12	12	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	28				
4	4	13	13	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5		
4	4	10	10	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	29				
4	4	12	12	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	30				
5	5	14	14	4.0	0	0	Chord	4/4	1	1	1	1	1	31				
