mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
1	1	0	0	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	0				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	1				
1	1	0	0	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	2				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	3				
1	1	0	0	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	4				
1	1	2	2	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#		
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	5				
1	1	0	0	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	6				
1	1	2	2	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	7				
2	2	4	4	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	8				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	9				
2	2	4	4	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	10				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	11				
2	2	4	4	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	6		
2	2	4	4	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	12				
2	2	6	6	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6\		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	13				
2	2	4	4	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	14				
2	2	6	6	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	15				
3	3	8	8	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	16				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	17				0
3	3	11	11	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	18				
3	3	8	8	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	19				
3	3	10	10	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	20				
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	21				
3	3	9	9	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	_		
3	3	10	10	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6		
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	22				
3	3	11	11	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6	4	
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	23				
3	3	8	8	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	24				
3	3	9	9	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	25				
3	3	10	10	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	26				
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	27				
4	4	12	12	4.0	0	0	Chord	4/4	1	1	1	1	1	28				
4	4	12	12	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	29				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	30				
4	4	12	12	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	6	5	
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	31				
4	4	14	14	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	8	#	
4	4	14	14	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	32				
4	4	15	15	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	7		
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	33				
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	34				
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	35				
5	5	16	16	4.0	0	0	Chord	4/4	1	1	1	1	1	36				
5	5	16	16	4.0	0	0	Chord	4/4	1	2	1	1	1	37				
5	5	16	16	4.0	0	0	Chord	4/4	2	1	1	1	1	38				
5	5	16	16	4.0	0	0	Chord	4/4	2	2	1	1	1	39				
6	6	20	20	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	40				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	41				
6	6	20	20	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	42				
6	6	22	22	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	43				
6	6	20	20	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	44				
6	6	22	22	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	#		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	45				
6	6	23	23	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	_		
6	6	20	20	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	46				
6	6	22	22	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	47				
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	48				
7	7	24	24	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	49				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	50				
7	7	24	24	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	51				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	52				
7	7	24	24	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	6		
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	53				
7	7	26	26	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6\		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	54				
7	7	24	24	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	55				
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	56				
8	8	28	28	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	57				
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	58				
8	8	28	28	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	59				
8	8	30	30	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	60				
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	61				
8	8	30	30	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	6		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	62				
8	8	28	28	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	63				
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	64				
9	9	32	32	4.0	0	0	Chord	4/4	1	1	1	1	1	65				
9	9	32	32	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	66				
9	9	34	34	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	67				
9	9	32	32	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	4		
9	9	32	32	4.0	0	0	Chord	4/4	2	1	1	1	1	68				
9	9	34	34	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#		
9	9	32	32	4.0	0	0	Chord	4/4	2	2	1	1	1	69				
10	10	36	36	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	70				
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	71				
10	10	36	36	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	72				
10	10	38	38	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	73				
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	74				
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	75				
10	10	36	36	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	76				
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	77				
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	78				1
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	79				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	80				
11	11	40	40	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	81				
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	82				
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	6	6	
11	11	40	40	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	83				
11	11	41	41	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5	_	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	84				
11	11	43	43	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	_		
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	85				
11	11	42	42	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	86				
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	87				
12	12	44	44	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	88				
