mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	3
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	2
1	1	0	0	2.0	0	1/2	4/4	1	2	1/2	1/2	1		-1	65	F4	4	1
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	0
2	2	2	2	2.0	0	0	4/4	2	2	1/2	1/2	1		-1	53	F3	3	11
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		0	60	C4	4	8
2	2	2	2	2.0	0	0	4/4	1	2	1/2	1/2	1		-1	65	F4	4	6
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	4
2	2	4	4	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		0	48	C3	3	12
2	2	4	4	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	9
2	2	4	4	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	7
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	5
2	2	5	5	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	10
3	3	6	6	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	19
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	17
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		-1	65	F4	4	13
3	3	6	6	2.0	0	0	4/4	1	2	1/2	1/2	1		-1	65	F4	4	15
3	3	8	8	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	20
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	18
3	3	8	8	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	16
