mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	3
1	1	0	0	2.0	0	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	2
1	1	0	0	2.0	0	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	1
1	1	0	0	2.0	0	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	0
2	2	2	2	2.0	0	0	4/4	2	2	1/2	1/2	1		1	43	G2	2	11
2	2	2	2	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	9
2	2	2	2	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	6
2	2	2	2	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	4
2	2	4	4	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	12
2	2	4	4	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	10
2	2	4	4	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	7
2	2	4	4	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	5
2	2	5	5	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	8
3	3	6	6	2.0	0	0	4/4	2	2	1/2	1/2	1		-3	51	Eb3	3	19
3	3	6	6	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	17
3	3	6	6	2.0	0	0	4/4	1	2	1/2	1/2	1		-2	58	Bb3	3	15
3	3	6	6	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	13
3	3	8	8	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	20
3	3	8	8	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	18
3	3	8	8	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	16
3	3	8	8	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		2	74	D5	5	14
4	4	10	10	2.0	0	0	4/4	2	2	1/2	1/2	1		0	48	C3	3	27
4	4	10	10	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	25
4	4	10	10	2.0	0	0	4/4	1	2	1/2	1/2	1		-3	63	Eb4	4	23
4	4	10	10	2.0	0	0	4/4	1	1	1/2	1/2	1		0	72	C5	5	21
4	4	12	12	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	43	G2	2	28
4	4	12	12	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	26
4	4	12	12	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	24
4	4	12	12	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	22
4	4	13	13	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	29
5	5	14	14	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	36
5	5	14	14	2.0	0	0	4/4	2	1	1/2	1/2	1		6	54	F#3	3	34
5	5	14	14	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	32
5	5	14	14	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	30
5	5	16	16	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		0	48	C3	3	37
5	5	16	16	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	35
5	5	16	16	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		-3	63	Eb4	4	33
5	5	16	16	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	31
6	6	18	18	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	43
6	6	18	18	2.0	0	0	4/4	2	2	1/2	1/2	1		1	55	G3	3	45
6	6	18	18	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	40
6	6	18	18	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	38
6	6	20	20	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	46
6	6	20	20	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	44
6	6	20	20	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	41
6	6	20	20	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	39
6	6	21	21	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	42
7	7	22	22	2.0	0	0	4/4	2	2	1/2	1/2	1		-3	51	Eb3	3	53
7	7	22	22	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	51
7	7	22	22	2.0	0	0	4/4	1	2	1/2	1/2	1		-2	58	Bb3	3	49
7	7	22	22	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	47
7	7	24	24	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		0	48	C3	3	54
7	7	24	24	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		1	55	G3	3	52
7	7	24	24	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		-3	63	Eb4	4	50
7	7	24	24	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		0	72	C5	5	48
8	8	26	26	4.0	0	0	4/4	2	2	1	1	1		2	50	D3	3	61
8	8	26	26	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	59
8	8	26	26	3.0	0	0	4/4	1	2	3/4	1/2	3/2		2	62	D4	4	57
8	8	26	26	2.0	0	0	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	55
8	8	28	28	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		6	54	F#3	3	60
8	8	28	28	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		3	69	A4	4	56
8	8	29	29	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		0	60	C4	4	58
9	9	30	30	2.0	0	0	4/4	2	2	1/2	1/2	1		1	43	G2	2	65
9	9	30	30	2.0	0	0	4/4	2	1	1/2	1/2	1		1	55	G3	3	64
9	9	30	30	2.0	0	0	4/4	1	2	1/2	1/2	1		-2	58	Bb3	3	63
9	9	30	30	2.0	0	0	4/4	1	1	1/2	1/2	1		1	67	G4	4	62
10	10	32	32	2.0	0	1/2	4/4	2	2	1/2	1/2	1		1	55	G3	3	69
10	10	32	32	2.0	0	1/2	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	68
10	10	32	32	2.0	0	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	67
10	10	32	32	2.0	0	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	66
11	11	34	34	2.0	0	0	4/4	2	2	1/2	1/2	1		7	49	C#3	3	77
11	11	34	34	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	75
11	11	34	34	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	73
11	11	34	34	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	70
11	11	35	35	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	71
11	11	36	36	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	78
11	11	36	36	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	76
11	11	36	36	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	74
11	11	36	36	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	72
12	12	38	38	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	85
12	12	38	38	2.0	0	0	4/4	2	2	1/2	1/2	1		3	57	A3	3	87
12	12	38	38	2.0	0	0	4/4	1	2	1/2	1/2	1		7	61	C#4	4	82
12	12	38	38	2.0	0	0	4/4	1	1	1/2	1/2	1		4	64	E4	4	79
12	12	40	40	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	88
12	12	40	40	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	86
12	12	40	40	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62	D4	4	80
12	12	40	40	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		2	62	D4	4	83
12	12	41	41	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	89
12	12	41	41	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		7	61	C#4	4	84
12	12	41	41	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	64	E4	4	81
13	13	42	42	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	96
13	13	42	42	2.0	0	0	4/4	2	1	1/2	1/2	1		3	57	A3	3	94
13	13	42	42	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	92
13	13	42	42	2.0	0	0	4/4	1	1	1/2	1/2	1		-1	65	F4	4	90
13	13	43	43	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	97
13	13	44	44	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	98
13	13	44	44	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	93
13	13	44	44	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	95
13	13	44	44	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		1	67	G4	4	91
14	14	46	46	2.0	0	0	4/4	2	2	1/2	1/2	1		3	45	A2	2	105
14	14	46	46	2.0	0	0	4/4	2	1	1/2	1/2	1		7	61	C#4	4	103
14	14	46	46	2.0	0	0	4/4	1	2	1/2	1/2	1		4	64	E4	4	101
14	14	46	46	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	99
14	14	48	48	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		2	50	D3	3	106
14	14	48	48	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	104
14	14	48	48	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	102
14	14	48	48	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	100
15	15	50	50	2.0	0	0	4/4	2	2	1/2	1/2	1		-2	46	Bb2	2	114
15	15	50	50	2.0	0	0	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	112
15	15	50	50	2.0	0	0	4/4	1	2	1/2	1/2	1		2	62	D4	4	110
15	15	50	50	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	107
15	15	51	51	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	108
15	15	52	52	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		1	43	G2	2	115
15	15	52	52	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62	D4	4	113
15	15	52	52	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		1	67	G4	4	111
15	15	52	52	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		-2	70	Bb4	4	109
16	16	54	54	2.0	0	0	4/4	2	2	1/2	1/2	1		2	50	D3	3	123
16	16	54	54	2.0	0	0	4/4	2	1	1/2	1/2	1		2	62	D4	4	121
16	16	54	54	2.0	0	0	4/4	1	2	1/2	1/2	1		6	66	F#4	4	119
16	16	54	54	2.0	0	0	4/4	1	1	1/2	1/2	1		3	69	A4	4	116
16	16	56	56	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		1	55	G3	3	124
16	16	56	56	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	58	Bb3	3	122
16	16	56	56	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		2	62	D4	4	120
16	16	56	56	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	117
16	16	57	57	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	118
17	17	58	58	2.0	0	0	4/4	2	2	1/2	1/2	1		0	48	C3	3	133
17	17	58	58	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	130
17	17	58	58	2.0	0	0	4/4	1	2	1/2	1/2	1		-3	63	Eb4	4	127
